performance_id,debate_id,candidate_id,type,title,speaking_turn_count,total_word_count,unique_word_count,won_election,words_per_turn
94,29,27,P,President,29,5690,1264,True,196.20689655172413
95,29,27,P,President,29,5690,1264,True,196.20689655172413
96,29,27,P,President,29,5690,1264,True,196.20689655172413
97,23,28,VP,Senator,34,6685,1462,False,196.61764705882354
98,23,29,VP,,30,6663,1446,True,222.1
99,23,29,VP,,30,6663,1446,True,222.1
100,26,32,P,Senator,32,6636,1213,False,207.375
101,28,32,P,Senator,37,7252,1449,False,196.0
102,29,32,P,Senator,31,7188,1371,False,231.8709677419355
103,27,31,VP,Senator,45,8088,1319,False,179.73333333333332
104,27,33,VP,Vice President,41,6404,1388,True,156.1951219512195
105,27,33,VP,Vice President,41,6404,1388,True,156.1951219512195
106,30,37,P,Senator,126,14848,1410,True,117.84126984126983
107,30,37,P,Senator,126,14848,1410,True,117.84126984126983
108,32,37,P,Senator,39,7046,1344,True,180.66666666666666
109,32,37,P,Senator,39,7046,1344,True,180.66666666666666
110,33,37,P,Senator,51,7166,1406,True,140.50980392156862
111,33,37,P,Senator,51,7166,1406,True,140.50980392156862
112,34,37,P,President,55,6807,1254,True,123.76363636363637
113,34,37,P,President,55,6807,1254,True,123.76363636363637
114,36,37,P,President,79,7164,1301,True,90.68354430379746
115,36,37,P,President,79,7164,1301,True,90.68354430379746
116,37,37,P,President,65,6934,1264,True,106.67692307692307
117,37,37,P,President,65,6934,1264,True,106.67692307692307
118,31,35,VP,Senator,41,6791,1300,True,165.6341463414634
119,31,35,VP,Senator,41,6791,1300,True,165.6341463414634
120,31,35,VP,Senator,41,6791,1300,True,165.6341463414634
121,35,35,VP,Vice President,143,6619,1301,True,46.28671328671329
122,35,35,VP,Vice President,143,6619,1301,True,46.28671328671329
123,35,35,VP,Vice President,143,6619,1301,True,46.28671328671329
124,42,35,P,Former Vice President,269,6529,1224,True,24.271375464684017
125,42,35,P,Former Vice President,269,6529,1224,True,24.271375464684017
126,42,35,P,Former Vice President,269,6529,1224,True,24.271375464684017
127,44,35,P,Former Vice President,84,6979,1329,True,83.08333333333333
128,44,35,P,Former Vice President,84,6979,1329,True,83.08333333333333
129,44,35,P,Former Vice President,84,6979,1329,True,83.08333333333333
130,31,36,VP,Governor,46,7600,1365,False,165.2173913043478
131,34,40,P,Former Governor,71,7501,1226,False,105.64788732394366
132,36,40,P,Former Governor,87,7488,1239,False,86.06896551724138
133,37,40,P,Former Governor,79,7946,1339,False,100.58227848101266
134,35,39,VP,Congressman,158,6647,1404,False,42.06962025316456
135,38,44,P,Businessman,124,7854,1325,True,63.33870967741935
136,40,44,P,Businessman,90,6914,1201,True,76.82222222222222
137,41,44,P,Businessman,128,6292,1124,True,49.15625
138,42,44,P,President,341,7394,1155,False,21.683284457478006
139,44,44,P,President,122,7654,1200,False,62.73770491803279
140,38,46,P,Former Secretary of State,87,6016,1359,False,69.14942528735632
141,40,46,P,Former Secretary of State,57,5847,1256,False,102.57894736842105
142,41,46,P,Former Secretary of State,82,6662,1410,False,81.2439024390244
143,39,43,VP,Senator,188,7560,1464,False,40.212765957446805
144,39,45,VP,Governor,207,6982,1385,True,33.729468599033815
145,43,45,VP,Vice President,89,6411,1341,False,72.03370786516854
146,43,50,VP,Senator,62,5326,1131,True,85.90322580645162
